run,arm,opponent_id,game_index,seat,outcome,source_id,source_record
combined_replicate,A_baseline,D01,0,first,loss,S01,20002
combined_replicate,A_baseline,D01,1,second,win,S01,20005
combined_replicate,A_baseline,D01,2,first,loss,S01,20003
combined_replicate,A_baseline,D01,3,second,win,S01,20004
combined_replicate,A_baseline,D01,4,first,loss,S01,20006
combined_replicate,A_baseline,D01,5,second,win,S01,20007
combined_replicate,A_baseline,D01,6,first,loss,S01,20008
combined_replicate,A_baseline,D01,7,second,loss,S01,20009
combined_replicate,A_baseline,D01,8,first,win,S01,20010
combined_replicate,A_baseline,D01,9,second,loss,S01,20011
combined_replicate,A_baseline,D01,10,first,loss,S01,20012
combined_replicate,A_baseline,D01,11,second,loss,S01,20013
combined_replicate,A_baseline,D01,12,first,win,S01,20014
combined_replicate,A_baseline,D01,13,second,loss,S01,20015
combined_replicate,A_baseline,D01,14,first,win,S01,20016
combined_replicate,A_baseline,D01,15,second,loss,S01,20017
combined_replicate,A_baseline,D01,16,first,loss,S01,20018
combined_replicate,A_baseline,D01,17,second,loss,S01,20019
combined_replicate,A_baseline,D01,18,first,win,S01,20020
combined_replicate,A_baseline,D01,19,second,loss,S01,20021
combined_replicate,A_baseline,D01,20,first,win,S01,20022
combined_replicate,A_baseline,D01,21,second,loss,S01,20023
combined_replicate,A_baseline,D01,22,first,loss,S01,20024
combined_replicate,A_baseline,D01,23,second,win,S01,20025
combined_replicate,A_baseline,D01,24,first,loss,S01,20026
combined_replicate,A_baseline,D01,25,second,win,S01,20027
combined_replicate,A_baseline,D01,26,first,loss,S01,20028
combined_replicate,A_baseline,D01,27,second,win,S01,20029
combined_replicate,A_baseline,D01,28,first,loss,S01,20030
combined_replicate,A_baseline,D01,29,second,loss,S01,20032
combined_replicate,A_baseline,D01,30,first,loss,S01,20031
combined_replicate,A_baseline,D01,31,second,win,S01,20033
combined_replicate,A_baseline,D01,32,first,loss,S01,20034
combined_replicate,A_baseline,D01,33,second,loss,S01,20036
combined_replicate,A_baseline,D01,34,first,win,S01,20035
combined_replicate,A_baseline,D01,35,second,win,S01,20037
combined_replicate,A_baseline,D01,36,first,loss,S01,20038
combined_replicate,A_baseline,D01,37,second,loss,S01,20039
combined_replicate,A_baseline,D01,38,first,loss,S01,20040
combined_replicate,A_baseline,D01,39,second,win,S01,20041
combined_replicate,A_baseline,D01,40,first,loss,S01,20042
combined_replicate,A_baseline,D01,41,second,win,S01,20043
combined_replicate,A_baseline,D01,42,first,loss,S01,20044
combined_replicate,A_baseline,D01,43,second,loss,S01,20045
combined_replicate,A_baseline,D01,44,first,win,S01,20046
combined_replicate,A_baseline,D01,45,second,loss,S01,20047
combined_replicate,A_baseline,D01,46,first,win,S01,20048
combined_replicate,A_baseline,D01,47,second,win,S01,20049
combined_replicate,A_baseline,D01,48,first,loss,S01,20050
combined_replicate,A_baseline,D01,49,second,win,S01,20051
