run,arm,opponent_id,game_index,seat,outcome,source_id,source_record
seven_opponent_panel,BASELINE,P01,0,first,loss,S12,2
seven_opponent_panel,BASELINE,P01,1,second,loss,S12,5
seven_opponent_panel,BASELINE,P01,2,first,win,S12,4
seven_opponent_panel,BASELINE,P01,3,second,loss,S12,3
seven_opponent_panel,BASELINE,P01,4,first,loss,S12,6
seven_opponent_panel,BASELINE,P01,5,second,win,S12,8
seven_opponent_panel,BASELINE,P01,6,first,loss,S12,7
seven_opponent_panel,BASELINE,P01,7,second,loss,S12,10
seven_opponent_panel,BASELINE,P01,8,first,win,S12,9
seven_opponent_panel,BASELINE,P01,9,second,win,S12,12
seven_opponent_panel,BASELINE,P01,10,first,win,S12,11
seven_opponent_panel,BASELINE,P01,11,second,win,S12,13
seven_opponent_panel,BASELINE,P01,12,first,win,S12,14
seven_opponent_panel,BASELINE,P01,13,second,win,S12,15
seven_opponent_panel,BASELINE,P01,14,first,loss,S12,16
seven_opponent_panel,BASELINE,P01,15,second,loss,S12,17
seven_opponent_panel,BASELINE,P01,16,first,loss,S12,18
seven_opponent_panel,BASELINE,P01,17,second,loss,S12,20
seven_opponent_panel,BASELINE,P01,18,first,win,S12,19
seven_opponent_panel,BASELINE,P01,19,second,loss,S12,21
seven_opponent_panel,BASELINE,P01,20,first,loss,S12,22
seven_opponent_panel,BASELINE,P01,21,second,loss,S12,24
seven_opponent_panel,BASELINE,P01,22,first,win,S12,23
seven_opponent_panel,BASELINE,P01,23,second,loss,S12,26
seven_opponent_panel,BASELINE,P01,24,first,loss,S12,25
seven_opponent_panel,BASELINE,P01,25,second,loss,S12,27
seven_opponent_panel,BASELINE,P01,26,first,loss,S12,29
seven_opponent_panel,BASELINE,P01,27,second,loss,S12,28
seven_opponent_panel,BASELINE,P01,28,first,loss,S12,30
seven_opponent_panel,BASELINE,P01,29,second,loss,S12,32
seven_opponent_panel,BASELINE,P01,30,first,loss,S12,34
seven_opponent_panel,BASELINE,P01,31,second,win,S12,31
seven_opponent_panel,BASELINE,P01,32,first,loss,S12,33
seven_opponent_panel,BASELINE,P01,33,second,loss,S12,35
seven_opponent_panel,BASELINE,P01,34,first,loss,S12,37
seven_opponent_panel,BASELINE,P01,35,second,loss,S12,38
seven_opponent_panel,BASELINE,P01,36,first,loss,S12,36
seven_opponent_panel,BASELINE,P01,37,second,win,S12,39
seven_opponent_panel,BASELINE,P01,38,first,win,S12,41
seven_opponent_panel,BASELINE,P01,39,second,win,S12,40
seven_opponent_panel,BASELINE,P01,40,first,loss,S12,42
seven_opponent_panel,BASELINE,P01,41,second,loss,S12,46
seven_opponent_panel,BASELINE,P01,42,first,loss,S12,43
seven_opponent_panel,BASELINE,P01,43,second,loss,S12,44
seven_opponent_panel,BASELINE,P01,44,first,win,S12,45
seven_opponent_panel,BASELINE,P01,45,second,loss,S12,47
seven_opponent_panel,BASELINE,P01,46,first,win,S12,48
seven_opponent_panel,BASELINE,P01,47,second,loss,S12,51
seven_opponent_panel,BASELINE,P01,48,first,loss,S12,49
seven_opponent_panel,BASELINE,P01,49,second,loss,S12,50
seven_opponent_panel,BASELINE,P01,50,first,win,S12,53
seven_opponent_panel,BASELINE,P01,51,second,loss,S12,55
seven_opponent_panel,BASELINE,P01,52,first,win,S12,52
seven_opponent_panel,BASELINE,P01,53,second,loss,S12,54
seven_opponent_panel,BASELINE,P01,54,first,win,S12,56
seven_opponent_panel,BASELINE,P01,55,second,loss,S12,57
seven_opponent_panel,BASELINE,P01,56,first,loss,S12,58
seven_opponent_panel,BASELINE,P01,57,second,loss,S12,59
seven_opponent_panel,BASELINE,P01,58,first,win,S12,61
seven_opponent_panel,BASELINE,P01,59,second,loss,S12,62
seven_opponent_panel,BASELINE,P01,60,first,win,S12,60
seven_opponent_panel,BASELINE,P01,61,second,win,S12,63
seven_opponent_panel,BASELINE,P01,62,first,loss,S12,65
seven_opponent_panel,BASELINE,P01,63,second,loss,S12,64
seven_opponent_panel,BASELINE,P01,64,first,loss,S12,66
seven_opponent_panel,BASELINE,P01,65,second,win,S12,67
seven_opponent_panel,BASELINE,P01,66,first,win,S12,68
seven_opponent_panel,BASELINE,P01,67,second,loss,S12,69
seven_opponent_panel,BASELINE,P01,68,first,win,S12,70
seven_opponent_panel,BASELINE,P01,69,second,win,S12,72
seven_opponent_panel,BASELINE,P01,70,first,win,S12,71
seven_opponent_panel,BASELINE,P01,71,second,loss,S12,73
seven_opponent_panel,BASELINE,P01,72,first,loss,S12,74
seven_opponent_panel,BASELINE,P01,73,second,win,S12,77
seven_opponent_panel,BASELINE,P01,74,first,loss,S12,75
seven_opponent_panel,BASELINE,P01,75,second,loss,S12,76
seven_opponent_panel,BASELINE,P01,76,first,win,S12,80
seven_opponent_panel,BASELINE,P01,77,second,loss,S12,79
seven_opponent_panel,BASELINE,P01,78,first,win,S12,78
seven_opponent_panel,BASELINE,P01,79,second,win,S12,83
seven_opponent_panel,BASELINE,P01,80,first,win,S12,81
seven_opponent_panel,BASELINE,P01,81,second,win,S12,82
seven_opponent_panel,BASELINE,P01,82,first,loss,S12,85
seven_opponent_panel,BASELINE,P01,83,second,loss,S12,84
seven_opponent_panel,BASELINE,P01,84,first,loss,S12,87
seven_opponent_panel,BASELINE,P01,85,second,win,S12,86
seven_opponent_panel,BASELINE,P01,86,first,win,S12,89
seven_opponent_panel,BASELINE,P01,87,second,win,S12,88
seven_opponent_panel,BASELINE,P01,88,first,loss,S12,90
seven_opponent_panel,BASELINE,P01,89,second,win,S12,91
seven_opponent_panel,BASELINE,P01,90,first,win,S12,92
seven_opponent_panel,BASELINE,P01,91,second,loss,S12,93
seven_opponent_panel,BASELINE,P01,92,first,loss,S12,96
seven_opponent_panel,BASELINE,P01,93,second,win,S12,95
